Tiempo(s),Temperatura(C)
0.77,18.06
1.55,18.13
2.56,18.13
3.34,18.06
4.12,18.06
4.90,18.13
5.68,18.06
6.46,18.06
7.24,18.06
8.02,18.06
8.84,18.06
9.65,18.06
10.46,18.06
11.27,18.06
12.08,18.06
12.89,18.06
13.70,18.06
14.51,18.06
15.32,18.13
16.13,18.06
16.94,18.06
17.75,18.06
18.56,18.13
19.37,18.13
20.18,18.06
20.99,18.06
21.80,18.06
22.61,18.06
23.42,18.13
24.23,18.06
25.04,18.13
25.85,18.13
26.66,18.06
27.47,18.06
28.28,18.06
29.09,18.06
29.90,18.13
30.71,18.06
31.52,18.06
32.33,18.06
33.14,18.06
33.95,18.06
34.76,18.13
35.57,18.06
36.38,18.13
37.19,18.13
38.00,18.13
38.82,18.13
39.64,18.13
40.46,18.06
41.28,18.13
42.10,18.13
42.92,18.13
43.74,18.13
44.56,18.13
45.38,18.13
46.42,18.13
47.23,18.13
48.04,18.13
48.85,18.13
49.66,18.13
50.47,18.13
51.28,18.13
52.10,18.13
52.90,18.13
53.72,18.19
54.53,18.19
55.35,18.19
56.15,18.25
56.97,18.25
57.78,18.25
58.58,18.25
59.40,18.25
60.21,18.31
61.02,18.25
61.83,18.38
62.64,18.31
63.45,18.38
64.27,18.44
65.09,18.44
65.91,18.44
66.73,18.50
67.55,18.56
68.37,18.56
69.19,18.56
70.01,18.56
70.83,18.63
71.65,18.63
72.47,18.69
73.29,18.69
74.11,18.69
74.93,18.69
75.75,18.75
76.57,18.81
77.39,18.81
78.21,18.88
79.03,18.88
79.85,18.94
80.67,18.94
81.49,19.00
82.31,18.94
83.13,19.00
83.95,19.06
84.77,19.06
85.59,19.13
86.41,19.13
87.23,19.13
88.05,19.13
88.87,19.13
89.69,19.25
90.51,19.50
91.33,19.75
92.15,19.94
92.97,20.25
93.79,20.44
94.61,20.63
95.43,20.69
96.25,20.75
97.30,20.81
98.12,20.88
98.94,20.94
99.76,21.00
100.58,21.00
101.40,21.06
102.22,21.13
103.04,21.13
103.86,21.19
104.68,21.25
105.50,21.31
106.32,21.31
107.14,21.38
107.96,21.38
108.78,21.50
109.60,21.63
110.42,21.75
111.24,21.81
112.06,22.00
112.88,22.06
113.70,22.19
114.52,22.31
115.34,22.44
116.16,22.63
116.98,22.75
117.80,22.81
118.62,22.88
119.44,23.00
120.26,23.06
121.08,23.13
121.90,23.13
122.72,23.19
123.54,23.19
124.36,23.25
125.18,23.38
126.00,23.44
126.82,23.50
127.64,23.56
128.46,23.63
129.28,23.75
130.10,23.75
130.92,23.88
131.74,23.94
132.56,24.00
133.38,24.06
134.20,24.19
135.02,24.25
135.84,24.38
136.66,24.50
137.48,24.56
138.30,24.63
139.12,24.75
139.94,24.81
140.76,24.88
141.58,25.00
142.40,25.06
143.23,25.19
144.06,25.25
144.89,25.38
145.72,25.44
146.55,25.56
147.38,25.63
148.44,25.75
149.26,25.88
150.08,25.94
150.90,26.06
151.72,26.19
152.54,26.31
153.36,26.38
154.18,26.50
155.00,26.56
155.82,26.69
156.65,26.75
157.46,26.81
158.29,26.94
159.10,27.06
159.93,27.13
160.74,27.25
161.57,27.38
162.38,27.50
163.20,27.63
164.02,27.69
164.85,27.88
165.68,27.94
166.51,28.00
167.34,28.13
168.17,28.25
169.00,28.38
169.83,28.50
170.66,28.63
171.49,28.75
172.32,28.88
173.15,29.00
173.98,29.13
174.81,29.25
175.64,29.38
176.47,29.50
177.30,29.63
178.13,29.75
178.96,29.88
179.79,30.00
180.62,30.06
181.45,30.19
182.28,30.31
183.11,30.44
183.94,30.50
184.77,30.63
185.60,30.75
186.43,30.88
187.26,30.94
188.09,31.06
188.92,31.19
189.75,31.31
190.58,31.44
191.41,31.56
192.24,31.69
193.07,31.81
193.90,31.94
194.73,32.06
195.56,32.13
196.39,32.25
197.22,32.38
198.05,32.50
198.88,32.63
199.94,32.75
200.77,32.88
201.60,33.00
202.43,33.13
203.27,33.25
204.11,33.38
204.95,33.50
205.79,33.63
206.63,33.75
207.47,33.81
208.31,33.94
209.15,34.06
209.99,34.19
210.83,34.25
211.67,34.38
212.51,34.44
213.35,34.56
214.19,34.69
215.03,34.81
215.87,34.94
216.71,35.13
217.55,35.19
218.39,35.38
219.23,35.50
220.08,35.63
220.92,35.75
221.76,35.88
222.60,36.00
223.44,36.13
224.28,36.25
225.12,36.31
225.96,36.44
226.80,36.50
227.64,36.63
228.48,36.75
229.32,36.88
230.16,37.00
231.00,37.13
231.84,37.31
232.68,37.44
233.52,37.56
234.36,37.75
235.20,37.81
236.04,37.88
236.88,38.00
237.72,38.13
238.56,38.25
239.40,38.31
240.24,38.44
241.08,38.56
241.92,38.69
242.76,38.75
243.60,38.94
244.44,39.06
245.28,39.25
246.12,39.31
246.97,39.44
247.82,39.56
248.67,39.69
249.52,39.75
250.37,39.88
251.22,40.00
252.30,40.19
253.14,40.31
253.98,40.50
254.82,40.63
255.66,40.75
256.50,40.88
257.34,41.00
258.18,41.13
259.02,41.25
259.86,41.31
260.70,41.44
261.55,41.56
262.39,41.69
263.23,41.81
264.07,41.94
264.90,42.06
265.75,42.13
266.59,42.31
267.42,42.38
268.27,42.50
269.13,42.69
269.94,42.81
270.75,43.00
271.56,43.13
272.37,43.25
273.18,43.38
273.99,43.44
274.80,43.56
275.61,43.63
276.42,43.69
277.23,43.75
278.04,43.81
278.85,43.94
279.66,44.06
280.47,44.19
281.28,44.38
282.09,44.50
282.90,44.63
283.71,44.75
284.52,44.94
285.33,45.00
286.14,45.19
286.95,45.25
287.76,45.38
288.57,45.50
289.38,45.63
290.19,45.75
291.00,45.88
291.81,46.00
292.62,46.19
293.43,46.31
294.24,46.44
295.05,46.50
295.86,46.63
296.67,46.75
297.48,46.88
298.29,47.00
299.10,47.06
299.91,47.19
300.72,47.25
301.54,47.38
302.36,47.50
303.41,47.69
304.22,47.75
305.03,47.94
305.84,48.06
306.65,48.19
307.46,48.31
308.27,48.44
309.08,48.56
309.89,48.69
310.70,48.88
311.51,48.94
312.32,49.06
313.13,49.19
313.94,49.31
314.75,49.44
315.56,49.56
316.37,49.75
317.19,49.81
318.00,49.94
318.80,50.06
319.62,50.19
320.42,50.25
321.23,50.31
322.05,50.38
322.87,50.50
323.69,50.56
324.50,50.69
325.33,50.81
326.15,50.88
326.97,51.00
327.79,51.06
328.61,51.13
329.43,51.19
330.25,51.25
331.07,51.31
331.89,51.38
332.71,51.38
333.53,51.44
334.35,51.50
335.17,51.50
335.99,51.56
336.81,51.56
337.63,51.56
338.45,51.56
339.27,51.56
340.09,51.56
340.91,51.63
341.73,51.63
342.55,51.69
343.37,51.75
344.19,51.75
345.01,51.81
345.83,51.88
346.65,51.88
347.47,51.88
348.29,51.88
349.11,51.88
349.93,51.88
350.75,51.81
351.57,51.75
352.39,51.75
353.21,51.69
354.26,51.69
355.08,51.63
355.90,51.63
356.72,51.63
357.54,51.56
358.36,51.63
359.18,51.56
360.00,51.56
360.82,51.56
361.64,51.56
362.46,51.56
363.28,51.63
364.10,51.56
364.92,51.56
365.74,51.56
366.56,51.63
367.38,51.56
368.20,51.56
369.02,51.56
369.84,51.38
370.66,50.69
371.48,50.06
372.30,49.81
373.12,50.00
373.94,50.44
374.76,51.06
375.58,51.38
376.40,51.31
377.22,51.13
378.04,50.88
378.86,50.63
379.68,50.38
380.50,50.13
381.32,49.94
382.14,49.75
382.96,49.56
383.78,49.50
384.60,49.44
385.42,49.38
386.24,49.38
387.06,49.38
387.88,49.38
388.70,49.44
389.52,49.56
390.34,49.56
391.16,49.63
391.98,49.63
392.80,49.75
393.62,49.81
394.44,49.88
395.26,49.88
396.08,49.94
396.90,50.06
397.72,50.13
398.54,50.19
399.36,50.25
400.18,50.31
401.00,50.31
401.83,50.38
402.66,50.38
403.49,50.38
404.32,50.38
405.38,50.38
406.20,50.38
407.02,50.38
407.84,50.38
408.66,50.31
409.48,50.31
410.30,50.31
411.12,50.31
411.94,50.31
412.76,50.31
413.58,50.38
414.40,50.38
415.22,50.44
416.04,50.44
416.87,50.50
417.69,50.56
418.50,50.56
419.33,50.56
420.14,50.63
420.97,50.63
421.79,50.69
422.61,50.69
423.44,50.69
424.27,50.75
425.10,50.75
425.92,50.69
426.76,50.75
427.60,50.75
428.43,50.81
429.26,50.81
430.09,50.81
430.92,50.81
431.75,50.81
432.58,50.81
433.41,50.88
434.24,50.88
435.07,50.94
435.90,50.94
436.73,51.00
437.56,51.00
438.39,51.06
439.22,51.06
440.05,51.06
440.88,51.06
441.71,51.00
442.54,51.00
443.37,51.00
444.20,51.00
445.03,50.94
445.86,50.94
446.69,50.94
447.52,50.94
448.35,50.94
449.18,51.00
450.01,50.94
450.84,50.94
451.67,50.94
452.50,50.94
453.33,50.94
454.16,50.94
454.99,50.94
455.82,50.94
456.88,50.94
457.71,50.94
458.54,50.94
459.37,50.94
460.20,51.00
461.03,50.94
461.86,50.94
462.69,50.94
463.52,51.00
464.36,50.94
465.20,50.94
466.04,51.00
466.88,50.94
467.72,51.00
468.56,51.00
469.40,51.00
470.24,51.00
471.08,51.00
471.92,51.00
472.76,51.00
473.60,51.00
474.44,51.00
475.28,51.00
476.12,51.00
476.96,51.00
477.80,51.00
478.64,51.00
479.48,51.00
480.32,51.00
481.16,51.00
482.00,51.06
482.84,51.06
483.68,51.06
484.52,51.06
485.36,51.06
486.20,51.06
487.04,51.13
487.88,51.06
488.72,51.06
489.56,51.06
490.40,51.13
491.24,51.06
492.08,51.06
492.92,51.13
493.76,51.13
494.60,51.13
495.45,51.13
496.29,51.13
497.13,51.13
497.97,51.13
498.81,51.13
499.65,51.13
500.49,51.13
501.33,51.13
502.17,51.13
503.01,51.13
503.85,51.13
504.69,51.13
505.54,51.13
506.39,51.13
507.24,51.13
508.09,51.13
509.18,51.13
510.02,51.19
510.86,51.19
511.70,51.19
512.54,51.19
513.38,51.19
514.22,51.19
515.06,51.19
515.90,51.19
516.74,51.19
517.58,51.31
518.42,51.38
519.26,51.38
520.10,51.31
520.94,51.25
521.78,51.19
522.63,51.13
523.47,51.06
524.30,51.00
525.15,51.00
525.99,50.94
526.83,50.88
527.66,50.81
528.50,50.81
529.36,50.81
530.23,50.75
531.04,50.75
531.85,50.69
532.66,50.69
533.47,50.69
534.28,50.63
535.09,50.63
535.90,50.56
536.71,50.56
537.52,50.63
538.33,50.63
539.14,50.63
539.95,50.63
540.76,50.63
541.57,50.63
542.38,50.63
543.19,50.56
544.00,50.63
544.81,50.63
545.62,50.63
546.43,50.63
547.24,50.63
548.05,50.63
548.86,50.56
549.67,50.63
550.49,50.63
551.30,50.63
552.11,50.63
552.92,50.63
553.73,50.69
554.54,50.69
555.35,50.69
556.16,50.69
556.97,50.69
557.78,50.69
558.59,50.69
559.41,50.69
560.45,50.69
561.26,50.69
562.07,50.69
562.88,50.69
563.69,50.69
564.50,50.69
565.31,50.69
566.12,50.69
566.93,50.69
567.74,50.69
568.55,50.75
569.36,50.75
570.17,50.75
570.98,50.75
571.79,50.75
572.60,50.75
573.41,50.69
574.22,50.75
575.03,50.75
575.84,50.75
576.65,50.75
577.47,50.75
578.28,50.75
579.09,50.75
579.90,50.75
580.70,50.75
581.52,50.81
582.34,50.81
583.16,50.81
583.97,50.81
584.80,50.88
585.62,50.81
586.44,50.81
587.26,50.81
588.08,50.81
588.90,50.81
589.72,50.88
590.54,50.81
591.36,50.81
592.18,50.81
593.00,50.81
593.82,50.81
594.64,50.81
595.46,50.81
596.28,50.81
597.10,50.88
597.92,50.81
598.74,50.81
599.56,50.88
600.38,50.88
601.20,50.88
602.02,50.88
602.84,50.88
603.66,50.88
604.48,50.94
605.30,50.94
606.12,50.94
606.94,50.94
607.76,50.94
608.58,50.94
609.40,50.94
610.22,50.94
611.27,50.94
612.09,50.94
612.91,50.94
613.73,50.94
614.55,50.94
615.37,51.00
616.19,51.00
617.01,51.00
617.83,51.00
618.65,51.00
619.47,51.00
620.29,51.00
621.11,51.00
621.93,51.06
622.75,51.06
623.57,51.06
624.39,51.06
625.21,51.06
626.03,51.06
626.85,51.06
627.67,51.06
628.49,51.06
629.31,51.06
630.13,51.06
630.95,51.06
631.77,51.06
632.59,51.06
633.41,51.06
634.23,51.06
635.05,51.06
635.87,51.06
636.69,51.06
637.51,51.06
638.33,51.06
639.17,51.13
639.99,51.13
640.81,51.06
641.63,51.06
642.45,51.06
643.27,51.06
644.09,51.06
644.91,51.06
645.73,51.06
646.55,51.06
647.37,51.06
648.19,51.06
649.01,51.06
649.83,51.06
650.65,51.06
651.47,51.13
652.29,51.06
653.11,51.13
653.93,51.06
654.75,51.06
655.57,51.06
656.39,51.06
657.21,51.06
658.04,51.06
658.86,51.06
659.68,51.06
660.51,51.06
661.34,51.06
662.39,51.06
663.21,51.06
664.03,51.06
664.85,51.06
665.67,51.06
666.49,51.00
667.31,51.00
668.13,51.00
668.95,51.00
669.77,51.00
670.59,51.00
671.41,51.00
672.23,51.00
673.05,50.94
673.87,50.94
674.69,50.94
675.51,50.94
676.33,50.94
677.16,50.94
677.98,50.94
678.80,50.94
679.62,50.94
680.44,50.94
681.26,50.94
682.08,51.00
682.90,51.00
683.73,50.94
684.56,50.94
685.39,50.94
686.22,51.00
687.05,51.00
687.88,50.94
688.71,51.00
689.54,51.00
690.37,51.00
691.20,50.94
692.03,50.94
692.86,50.94
693.69,51.00
694.52,51.00
695.35,51.00
696.18,51.00
697.01,51.00
697.84,51.00
698.67,51.00
699.50,51.00
700.33,51.00
701.16,51.00
701.99,51.00
702.82,51.06
703.65,51.00
704.48,51.00
705.31,51.00
706.14,51.00
706.97,51.00
707.80,51.00
708.63,51.00
709.46,51.00
710.29,51.00
711.12,51.00
